,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
195,2010-07-10,36.79,-120.36305555,23.0,C,Miscellaneous
196,2010-07-11,36.43805555,-119.69888888,5.0,B,Miscellaneous
197,2010-07-11,36.20805555,-120.37305555,57.0,C,Miscellaneous
198,2010-07-12,36.68388888,-119.565,0.5,B,Arson
199,2010-07-14,36.77,-120.38305555,1.0,B,Miscellaneous
200,2010-07-15,36.59,-119.46694444,1.0,B,Arson
201,2010-07-15,36.13805555,-120.16388888,160.0,D,Equipment Use
202,2010-07-17,36.72111111,-119.72694444,1.0,B,Miscellaneous
203,2010-07-26,36.74805555,-120.37111111,1.0,B,Miscellaneous
204,2010-07-26,36.67611111,-119.73694444,1.0,B,Miscellaneous
205,2010-07-26,36.51805555,-119.78611111,1.0,B,Arson
206,2010-07-27,36.67305555,-119.77805555,1.0,B,Debris Burning
207,2010-07-28,36.53,-119.65611111,0.1,A,Miscellaneous
208,2010-07-28,36.71694444,-119.76388888,1.0,B,Miscellaneous
209,2010-07-31,36.64111111,-119.78194444,1.0,B,Equipment Use
210,2010-07-31,36.25388888,-120.24694444,1.0,B,Miscellaneous
211,2010-08-02,36.78611111,-119.525,1.0,B,Miscellaneous
212,2010-08-29,36.67611111,-120.38805555,100.0,D,Miscellaneous
213,2010-08-31,36.78805555,-119.58305555,1.0,B,Miscellaneous
214,2010-08-31,36.76694444,-120.38388888,1.0,B,Miscellaneous
215,2010-08-31,36.89694444,-119.79111111,0.1,A,Smoking
216,2010-08-31,36.78888888,-119.58305555,1.0,B,Debris Burning
217,2010-08-31,36.70694444,-119.75694444,1.0,B,Arson
218,2010-08-31,36.625,-119.35194444,1.0,B,Miscellaneous
219,2010-09-03,36.55694444,-119.61111111,1.0,B,Miscellaneous
220,2010-09-03,36.67611111,-119.73694444,1.0,B,Miscellaneous
221,2010-09-03,36.675,-119.73694444,1.0,B,Railroad
222,2010-09-04,36.78611111,-119.53805555,1.0,B,Equipment Use
223,2010-09-04,36.69888888,-119.85305555,0.1,A,Miscellaneous
224,2010-09-05,36.58194444,-119.41305555,0.1,A,Miscellaneous
225,2010-09-05,36.73611111,-119.535,9.0,B,Miscellaneous
226,2010-09-22,36.55111111,-119.55694444,4.0,B,Debris Burning
227,2010-09-22,36.72,-120.38694444,1.0,B,Debris Burning
228,2010-09-24,36.59305555,-119.76388888,1.0,B,Miscellaneous
229,2010-09-25,36.64888888,-119.755,1.0,B,Debris Burning
230,2010-09-25,36.59111111,-119.80388888,6.0,B,Debris Burning
231,2010-09-25,36.73,-119.50194444,1.0,B,Miscellaneous
232,2010-09-26,36.67805555,-119.84388888,1.0,B,Debris Burning
