DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
7/3/2010,36.95305555,-120.0680556,0.1,A,Miscellaneous
7/3/2010,37.51611111,-120.4530556,0.1,A,Miscellaneous
7/4/2010,37.025,-120.0680556,1,B,Miscellaneous
7/5/2010,36.93805555,-120.0330556,2,B,Miscellaneous
7/5/2010,36.92805555,-119.8761111,1,B,Miscellaneous
7/5/2010,37.39694444,-120.8319444,0.1,A,Miscellaneous
7/5/2010,36.96805555,-120.0830556,1,B,Miscellaneous
7/5/2010,36.93805555,-120.0561111,0.3,B,Miscellaneous
7/6/2010,37.14194444,-120.2738889,0.2,A,Miscellaneous
7/6/2010,36.96694444,-119.8311111,3,B,Miscellaneous
7/6/2010,37.26611111,-120.9630556,0.3,B,Miscellaneous
7/6/2010,37.09388888,-121.02,1,B,Miscellaneous
7/11/2010,37.49305555,-120.5019444,0.1,A,Miscellaneous
7/12/2010,37.33194444,-120.5280556,0.3,B,Miscellaneous
7/12/2010,37.395,-120.7780556,0.1,A,Miscellaneous
7/12/2010,37.08388888,-120.21,0.3,B,Miscellaneous
7/13/2010,37.465,-120.8161111,0.1,A,Miscellaneous
7/13/2010,37.38611111,-120.6138889,10,C,Miscellaneous
7/14/2010,37.01805555,-120.3830556,0.1,A,Miscellaneous
7/14/2010,37.31194444,-120.5169444,1,B,Miscellaneous
7/15/2010,37.33888888,-120.5219444,0.1,A,Miscellaneous
7/16/2010,37.49194444,-120.5419444,0.5,B,Miscellaneous
7/28/2010,36.96694444,-119.8311111,0.1,A,Miscellaneous
7/28/2010,36.85111111,-119.9469444,1,B,Miscellaneous
7/28/2010,36.96694444,-119.7938889,1,B,Miscellaneous
7/28/2010,36.96694444,-119.8311111,1,B,Miscellaneous
7/28/2010,37.39694444,-120.4611111,1,B,Miscellaneous
7/29/2010,37.08388888,-121.1011111,292,D,Miscellaneous
7/29/2010,37.17888888,-120.4919444,0.2,A,Miscellaneous
7/29/2010,37.09305555,-121.0161111,0.1,A,Miscellaneous
7/29/2010,36.85805555,-120.4288889,29,C,Miscellaneous
7/30/2010,37.39694444,-120.6219444,0.3,B,Miscellaneous
7/31/2010,37.08388888,-120.2611111,0.5,B,Miscellaneous
8/13/2010,36.97694444,-120.0738889,0.2,A,Miscellaneous
8/13/2010,36.85111111,-119.9469444,0.3,B,Miscellaneous
8/15/2010,37.40194444,-120.745,0.1,A,Miscellaneous
8/15/2010,37.1,-120.2830556,0.4,B,Miscellaneous
8/17/2010,37.07611111,-120.2080556,0.3,B,Miscellaneous
8/18/2010,37.43694444,-120.7830556,0.1,A,Miscellaneous
8/25/2010,37.115,-121.0330556,0.1,A,Miscellaneous
8/25/2010,37.33388888,-120.5761111,0.3,B,Miscellaneous
8/26/2010,36.92305555,-119.7938889,3,B,Miscellaneous
8/26/2010,37.10388888,-121.0161111,0.1,A,Miscellaneous
8/26/2010,37.38888888,-120.6188889,0.5,B,Miscellaneous
8/26/2010,36.92305555,-119.8311111,0.2,A,Miscellaneous
