DATE,LAT,LON,T2M_MAX,T2M_MIN,T2M,PRECTOT,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M,FIRE,FIRE_SIZE,FIRE_SIZE_CLASS
7/26/2013,32.25,-114.25,39.64,27.2,33.11,0,42.46,99.72,1.09,5.46,3.61,NOFIRE,0,NA
7/26/2014,32.25,-114.25,40.84,27.63,33.65,3.98,39.91,99.49,3.37,6.73,4.73,NOFIRE,0,NA
7/26/2015,32.25,-114.25,43.3,24.55,33.92,0,23.28,99.23,1.67,5.51,3.57,NOFIRE,0,NA
7/27/2013,32.25,-114.25,40.58,26.98,33.38,0,43.3,99.37,1.83,5.29,3.92,NOFIRE,0,NA
7/27/2014,32.25,-114.25,38.14,28.54,32.29,0.97,46.14,99.64,2.58,7.89,4.55,NOFIRE,0,NA
7/27/2015,32.25,-114.25,40.97,26.23,33.04,0,28.57,99.23,0.65,5.66,2.67,NOFIRE,0,NA
7/28/2013,32.25,-114.25,42.07,26.47,33.79,0,29.05,99.09,0.88,5.33,2.81,NOFIRE,0,NA
7/28/2014,32.25,-114.25,41.45,27.14,34.4,0,37.01,99.71,0.93,3.82,2.6,NOFIRE,0,NA
7/28/2015,32.25,-114.25,39.21,26.06,32.45,0.05,42.41,99.33,1.64,6.92,4.61,NOFIRE,0,NA
7/29/2013,32.25,-114.25,40.47,24.28,32.17,0,28.36,99.45,0.85,6.04,3.29,NOFIRE,0,NA
7/29/2014,32.25,-114.25,43.15,28.47,35.82,0,31.08,99.5,0.93,4.13,2.24,NOFIRE,0,NA
7/29/2015,32.25,-114.25,33.85,27.78,30.72,0.27,57.51,99.64,1.84,5.9,4.16,NOFIRE,0,NA
7/3/2013,32.25,-114.25,43.67,27.05,34.94,0.01,29.27,99.07,0.24,5.48,2.37,NOFIRE,0,NA
7/3/2014,32.25,-114.25,39.04,25.23,32.13,0.01,46.87,99.44,4.49,8.68,6.64,NOFIRE,0,NA
7/3/2015,32.25,-114.25,36.98,27.78,32.55,0,36.24,99.24,0.48,3.58,2.32,NOFIRE,0,NA
7/30/2013,32.25,-114.25,40.37,25.12,32.69,0,36.91,99.77,0.65,6.7,3.68,NOFIRE,0,NA
7/30/2014,32.25,-114.25,43.75,28.85,35.79,0,29.91,99.36,0.75,5.72,2.84,NOFIRE,0,NA
7/30/2015,32.25,-114.25,38.03,27.64,32.63,0.01,46.76,99.72,1.45,3.42,2.54,NOFIRE,0,NA
7/31/2013,32.25,-114.25,41.44,25.87,33.45,0,33.85,99.6,0.24,7.1,2.83,NOFIRE,0,NA
7/31/2014,32.25,-114.25,40.13,28.38,33.84,0.18,44.53,99.41,1.82,8.35,4.65,NOFIRE,0,NA
7/31/2015,32.25,-114.25,41.74,27.89,34.33,0.35,39.15,99.6,1.23,5.79,3.19,NOFIRE,0,NA
7/4/2013,32.25,-114.25,40.47,26.56,33.22,0,38.81,98.93,2.35,7.35,5.38,NOFIRE,0,NA
7/4/2014,32.25,-114.25,33.83,26.57,29.63,0.6,57.19,99.81,2.71,6.99,4.38,NOFIRE,0,NA
7/4/2015,32.25,-114.25,39.54,27.02,32.62,0,40.26,99.16,1.2,9.06,4.85,NOFIRE,0,NA
7/5/2013,32.25,-114.25,40.4,27.09,33.09,0,37.11,98.94,2.14,7.87,4.96,NOFIRE,0,NA
7/5/2014,32.25,-114.25,39.94,27.42,33.46,0.69,41.33,99.77,1.73,5.26,3.17,NOFIRE,0,NA
7/5/2015,32.25,-114.25,37.5,26.15,31.42,0.05,44.98,99.42,2.77,10.1,5.55,NOFIRE,0,NA
7/6/2013,32.25,-114.25,40.95,26.09,33.26,0,34.08,98.87,2.28,5.69,3.86,NOFIRE,0,NA
7/6/2014,32.25,-114.25,41.88,27.15,34.84,0.02,37.32,99.47,0.25,4.13,1.44,NOFIRE,0,NA
7/6/2015,32.25,-114.25,39.93,25.64,32.67,0.01,39.43,99.5,3.03,5.61,4.42,NOFIRE,0,NA
7/7/2013,32.25,-114.25,43.58,25.95,34.74,0,27.77,98.88,1.57,4.42,3.27,NOFIRE,0,NA
7/7/2014,32.25,-114.25,43.54,28.45,35.75,0,30.82,99.21,1.18,5.74,3.2,NOFIRE,0,NA
7/7/2015,32.25,-114.25,40.2,25.95,32.91,0.02,32.42,99.27,1.64,7.19,4.32,NOFIRE,0,NA
7/8/2013,32.25,-114.25,41.96,27.43,33.99,0,31.95,99.25,0.23,5.98,3.65,NOFIRE,0,NA
7/8/2014,32.25,-114.25,39.86,28.03,33.38,3.71,48.89,99.37,3.64,8.47,5.24,NOFIRE,0,NA
7/8/2015,32.25,-114.25,38.16,24.31,30.91,0,28.86,99.07,1.68,7.96,4.48,NOFIRE,0,NA
7/9/2013,32.25,-114.25,36.56,27.38,31.47,1.2,51.46,99.64,3.88,8.2,6.38,NOFIRE,0,NA
7/9/2014,32.25,-114.25,39.96,26.99,32.86,0.25,47.99,99.4,1.99,5.67,3.71,NOFIRE,0,NA
7/9/2015,32.25,-114.25,36.36,21.5,28.7,0,30.32,99.17,2,6.13,4.11,NOFIRE,0,NA
7/1/2013,32.25,-114.75,44.29,29.16,36.29,0.03,27.98,99.79,0.78,6.38,4.17,NOFIRE,0,NA
7/1/2014,32.25,-114.75,42.35,24.86,33.36,0,27.86,99.77,1.39,5.95,3.61,NOFIRE,0,NA
7/1/2015,32.25,-114.75,38.73,27.07,32.6,0.68,43.95,100.18,1.26,6.35,4.24,NOFIRE,0,NA
7/10/2013,32.25,-114.75,38.7,28.31,32.95,0.51,45.06,100.18,2.41,7.6,4.64,NOFIRE,0,NA
7/10/2014,32.25,-114.75,42.78,27.68,34.68,0.02,28.45,100.04,0.22,4.17,1.77,NOFIRE,0,NA
7/10/2015,32.25,-114.75,36.16,19.9,28.27,0,31.78,100.06,1.03,5.13,3.13,NOFIRE,0,NA
7/11/2013,32.25,-114.75,37.6,27.03,32,2.26,45.78,100.11,2.16,5.67,4.7,NOFIRE,0,NA
7/11/2014,32.25,-114.75,41.99,25.23,33.78,0,20.92,100.18,1.34,4.38,3.14,NOFIRE,0,NA
7/11/2015,32.25,-114.75,36.47,21.61,29.07,0,34.17,100.29,0.54,4.76,2.67,NOFIRE,0,NA
7/12/2013,32.25,-114.75,40.54,27.11,33.63,0.02,37.92,100.03,0.16,5.31,3.08,NOFIRE,0,NA
7/12/2014,32.25,-114.75,41.94,25.38,34.02,0,22.06,100.19,0.52,3.85,2.75,NOFIRE,0,NA
7/12/2015,32.25,-114.75,40.81,22.15,31.75,0,27.3,100.28,0.61,4.38,2.46,NOFIRE,0,NA
7/13/2013,32.25,-114.75,42.7,26.54,34.76,0,33.49,100.01,0.17,6.2,2.75,NOFIRE,0,NA
7/13/2014,32.25,-114.75,38.77,27.62,32.74,0.29,35.51,100.19,0.82,8.54,4.95,NOFIRE,0,NA
7/13/2015,32.25,-114.75,43.09,24.81,33.68,0,23.62,100.03,0.42,4.81,2.02,NOFIRE,0,NA
7/14/2013,32.25,-114.75,41.84,30,35.08,0.02,34.89,99.94,0.31,6.04,3.04,NOFIRE,0,NA
7/14/2014,32.25,-114.75,35.78,27.11,31.04,0.41,50.68,100.44,2.76,7,5.39,NOFIRE,0,NA
7/14/2015,32.25,-114.75,42.41,24.51,33.33,0,25.51,99.82,0.43,5.8,2.4,NOFIRE,0,NA
7/15/2013,32.25,-114.75,44.48,27.97,36.44,0.08,29.31,99.68,1.49,6.04,3.04,NOFIRE,0,NA
7/15/2014,32.25,-114.75,41.32,25.53,33.35,0,32.53,100.35,1.24,6.22,3.53,NOFIRE,0,NA
7/15/2015,32.25,-114.75,40.98,23.83,32.72,0,29.54,99.99,0.13,7.2,3.42,NOFIRE,0,NA
7/16/2013,32.25,-114.75,42.67,28.09,35.42,0,22.17,99.95,0.07,5.19,2.11,NOFIRE,0,NA
7/16/2014,32.25,-114.75,43.02,24.54,33.81,0,17.94,100.15,1.26,4.93,2.83,NOFIRE,0,NA
7/16/2015,32.25,-114.75,42.43,24.01,33.23,0,28.61,100.01,0.82,5.5,3,NOFIRE,0,NA
7/17/2013,32.25,-114.75,42.87,28.58,35.84,0.55,27.53,100.23,0.67,2.98,1.9,NOFIRE,0,NA
7/17/2014,32.25,-114.75,42.19,23.59,32.68,0,18.97,100.12,1.35,4.89,3.35,NOFIRE,0,NA
7/17/2015,32.25,-114.75,41.85,26.14,34.15,0.04,38.53,99.92,0.78,8.93,5.15,NOFIRE,0,NA
